452,R0,QE,Arrived,,,,,,,,,,0.0,,,,,,,,,,,,Arrived at Works,F.I Approval Pending,1,
453,R1,QE,Arrived,,Refurb.,"2258, 2259, 2262",,"Simunye, Mhlume, UCL",55.400,,,,0.0,,,39450.00,0.00,,,,,,,,Arrived at Works,On time,2,
454,R2,QE,Arrived,,Refurb.,"2258, 2259, 2262",,"Simunye, Mhlume, UCL",,,,,0.0,,,80259.00,0.00,,,,,,,,Arrived at Works,On time,2,
455,R3,QE,Arrived,,,2258,,Simunye,,,,,0.0,,,50400.00,0.00,,,,,,,,Arrived at Works,On time,,
456,R4,QE,Arrived,,Refurb.,,,,,,,,0.0,,,26026.00,0.00,,,,,,,,Arrived at Works,On time,2,
457,R5,QE,Arrived,,Refurb.,,,,,,,,0.0,,,15795.00,0.00,,,,,,,,Arrived at Works,On time,2,
458,R6,QE,Arrived,,Refurb.,,,,,,,,0.0,,,64700.00,0.00,,,,,,,,Arrived at Works,On time,2,
459,R7,QE,Arrived,,Refurb.,,,,,,,,0.0,,,47459.00,0.00,,,,,,,,Arrived at Works,On time,2,
460,R8,QE,Arrived,,Refurb.,,,,,,,,0.0,,,4868.00,0.00,,,,,,,,Arrived at Works,On time,2,
461,R9,QCL,Shafts/Ongoing/Import Status/Import Rem,Foundry Material,Store,,,,,2026-02-24,,2026-05-24,12.714285714285714,,,25344.00,,,,,,,,,Ready Awaiting Sailing,"3 Ton for QBL-II, 10.2 Ton for QCL/Shipment ETD was 09-05-2026, China customs hold the shipment due to sudden new policy changes on DG material and custom required Analysis certificate to got approval for export, this procedure will be completed by end of May afterwards CIQ Inspection will conducted and shipment will be planned to sail accordingly.",3,
462,R10,QCL,Shafts/Ongoing/Import Status/Import Rem,Foundry Material,Store,,,,,2026-02-24,,2026-05-24,12.714285714285714,,,4886.70,1364610.97,,,,,,,,Ready Awaiting Sailing,"QCL Only /Shipment ETD was 09-05-2026, China customs hold the shipment due to sudden new policy changes on DG material and custom required Analysis certificate to got approval for export, this procedure will be completed by end of May afterwards CIQ Inspection will conducted and shipment will be planned to sail accordingly.",3,
463,R11,QCL,Arrived,,,,,,,,,,0.0,,,91806.75,25935406.88,,,,,,,,Arrived at Works,On time,,
464,R12,QCL,Shafts/Ongoing/Import Status/Import Rem,,Store,,,,,2025-10-23,,2026-01-23,13.142857142857142,,,54750.00,15439500.00,,,,,,,,Ready Awaiting Sailing,"Vessel struck at Jebel Ali seaport, UAE since 05-03-2026 due to closure of strait of Hermuz.",4,
465,R14,QE,Arrived,,,,,,,,,,0.0,,,12600.00,3578400.00,,,,,,,,Arrived at Works,,5,
466,R15,QEN,Arrived,,Engg.,SE25-LAGE-0008,,Ingenio LA Garcia,12.464,2025-12-11,,2026-03-05,12.0,,,103451.20,4138048.00,,,,,,,,Arrived at Works,Vessel Rollover from ETD: 25-01-26 to 09-02-2026 & 17-02-26 & 22-02-2026 due to shipper export license issue and vessel rollover.,6,
467,R16,QEN,Arrived,,Engg.,SE25-LAGE-0009,,Ingenio LA Garcia,8.177,2025-12-11,,2026-03-05,12.0,,,67869.10,2714764.00,,,,,,,,Arrived at Works,Vessel Rollover from ETD: 25-01-26 to 09-02-2026 & 17-02-26 due to shipper export license issue and vessel rollover.,6,
468,R17,QEN,Arrived,,Engg.,SE25-LAGE-0010,,Ingenio LA Garcia,7.634,2025-12-11,,2026-03-05,12.0,,,63362.20,2534488.00,,,,,,,,Arrived at Works,Vessel Rollover from ETD: 25-01-26 to 09-02-2026 & 17-02-26 due to shipper export license issue and vessel rollover.,6,
469,R18,QEN,Arrived,,Engg.,SE25-LAGE-0011,,Ingenio LA Garcia,11.232,2025-12-11,,2026-03-05,12.0,,,93225.60,3729024.00,,,,,,,,Arrived at Works,Vessel Rollover from ETD: 25-01-26 to 09-02-2026 & 17-02-26 due to shipper export license issue and vessel rollover.,6,
470,R19,QEN,Arrived,,Engg.,SE25-LAGE-0012,,Ingenio LA Garcia,10.507,2025-12-11,,2026-03-05,12.0,,,87208.10,3488324.00,,,,,,,,Arrived at Works,Vessel Rollover from ETD: 25-01-26 to 09-02-2026 & 17-02-26 due to shipper export license issue and vessel rollover.,6,
471,R20,QEN,Arrived,,Engg.,SE25-LAGE-0013,,Ingenio LA Garcia,4.057,2025-12-11,,2026-03-05,12.0,,,31238.90,1249556.00,,,,,,,,Arrived at Works,Vessel Rollover from ETD: 25-01-26 to 09-02-2026 & 17-02-26 due to shipper export license issue and vessel rollover.,6,
472,R21,QEN,Arrived,,Engg.,SE25-SARI-0004,,Sonkor(SARI),21.110,2025-12-11,,2026-03-05,12.0,,,162547.00,6501880.00,,,,,,,,Arrived at Works,Vessel Rollover from ETD: 25-01-26 to 09-02-2026 & 17-02-26 due to shipper export license issue and vessel rollover.,6,
473,R22,QEN,Shafts/Ongoing/Import Status/Import Rem,,Engg.,,,,,,,,,,,136666.00,38088814.20,,,,,,,,In Transit,"Vessel Booking received from supplier as ETD: 08-06-2026, ETA:03-08-26, Now received new ETA: 26-07-26",7,
474,R23,QCL,Arrived,,Store,,,,,,,,0.0,,,63317.80,17757477.01,,,,,,,,Arrived at Works,,8,
475,R24,QBL-II,Arrived,,Store,,,,,2025-10-27,,2026-01-28,13.285714285714286,,,12324.00,3455649.60,,,,,,,,Arrived at Works,"Vessel booking received from Cukurova ETD:17-12-2025, Vessel rollover ETD:30-12-25",3,
476,R25,QBL-II,Arrived,,Store,,,,,2025-10-27,,2026-01-28,13.285714285714286,,,7550.00,2117020.00,,,,,,,,Arrived at Works,"Vessel booking received from Cukurova ETD:17-12-2025, Vessel rollover ETD:30-12-25",3,
477,R26,QCL,Arrived,,Store,,,,,,,,0.0,,,32135.95,9078405.88,,,,,,,,Arrived at Works,"On-time ( ETA changed from 02-Sep to 09-Sep, 13 Sep & 20 Sep)",9,
478,R27,QCL,Arrived,,,,,,,,,,0.0,,,54442.88,15450887.93,,,,,,,,Arrived at Works,On time,,
479,R28,QCL,Arrived,,,,,,,,,,0.0,,,23463.00,6658799.40,,,,,,,,Arrived at Works,On time,,
